replay/0headkick.rpl	headkick3	hampa	classic	hampa uke		decap	0	
replay/dead stylish decap.rpl	Dead-stylishdecap	DeadorK	classic	DeadorK uke		decap	0	
replay/fyeah.rpl	fyeah	hampa	sambo.tbm	deerslayer hampa			0	
replay/nirs_jd_balancehammer.rpl	_nirs_jd_balancedhamer	Nirs	classic	Nirs uke			0	
replay/hacking/combined2 - Nuthug.rpl	toristart	NutHug	#spar3.tbm	NutHug uke		decap	0	
replay/hacking/Gravity_is_not_real.rpl	Gravity is not real	Karbn	gravity.tbm	Karbn uke			0	
replay/hacking/Jisse - Homeland Defender.rpl	Homeland Defender	Jisse	red_death.tbm	Jisse Invaders			0	
replay/hacking/Jisse - Soldier of Fortune.rpl	Soldier of Fortune	Jisse	tzong_tzu_syndicate.tbm	Jisse TzongTzu_Mobsters			0	
replay/hacking/Nuthug- 7.rpl	raymantest	NutHug	classic	NutHug uke		decap	0	
replay/hacking/Prison Break.rpl	#Tsuion - Prison Break	Tsuion	deafultpos4.tbm	Tsuion uke			0	
replay/legacy/Demo.rpl	nutdemo2	Nuthug	classic	Nuthug uke			0	
replay/legacy/discipline v2.rpl	Ora_discipline v2	Oracle	classic	Oracle uke		decap	0	
replay/legacy/headpass.rpl	headpass	NutHug	classic	NutHug uke		decap	0	
replay/legacy/i_like_it_on_top_of_my_head.rpl	i like it on top of my head	Engraze	sambo.tbm	Engraze uke		decap	0	
replay/legacy/pow pow pow.rpl	#pow pow pow	War_Hero	classic	War_Hero uke		decap	0	
replay/legacy/ShoryukenSplit.rpl	shoryukenSplit2	Dafe	classic	Dafe uke			0	
replay/legacy/South Africa.rpl	#Nightin - South Africa	Nightin	classic	Nightin uke		decap	0	
replay/legacy/The headless whoreman.rpl	The headless whoreman	Mosier	classic	Mosier uke		decap	0	
replay/legacy/WallFlip.rpl	WallFlip kinda	Mosier	classic	Mosier uke		decap	0	
replay/legacy/Zawesomeness.rpl	CheZ_Zawesomeness	CheZDa	classic	CheZDa uke		decap	0	
replay/misc/Fastest full Uke DM.rpl	Jaker_R_100_ED_Full_Dm_95_Frames	Jaker	classic	Jaker uke		madman decap	0	
replay/misc/Longest Jump to Decap.rpl	#3000 [2920]	Rfifan	classic	Rfifan uke		decap	0	
replay/misc/Most DMs in 1 frame.rpl	9 DMs in 1 frame	pusga	classic	pusga uke		madman	0	
replay/misc/Most DMs in 1 skeet.rpl	4 DMs in 1 skeet	Zockinator	classic	Zockinator uke			0	
replay/misc/Most skeets in 500 frames.rpl	14 skeets	pusga	classic	pusga uke		decap madman	0	
replay/misc/Nausea.rpl	#Splinter - Nausea	Splinter	classic	Splinter uke		decap madman	0	
replay/misc/Oblivion - Crescendo.rpl	Oblivion - Crescendo	Oblivion	classic	Oblivion uke		decap	0	
replay/misc/R.I.P_Fredo.rpl	R.I.P Fredo	Glimpsed	classic	Glimpsed			0	
replay/misc/TV_jack_2.rpl	TV jack 2	autosave	rain_blu_apartmentspar_v2g2.tbm	sushiroll Rouxster			0	
replay/misc/Uncle Drew v2.rpl	Uncle Drew v2	largekilla	indoor_basketball_challenge3.tbm	largekilla uke			0	
replay/multiplayer/[s] navi and lionet child spar 2.rpl	[s] navi and lionet child spar 2	Karbn	morten_childvchild.tbm	Karbn Lionet			0	
